Sample	AODC_cellsmL	Ag_mgL	Al_mgL	As_mgL	Ba_mgL	Be_mgL	Bi_mgL	Boring_depth	Bot_depth	Bot_elevation	Br_mgL	CH4_mM	CO2_mM	Ca_mgL	Cd_mgL	Cl_mgL	Co_mgL	Concentration_nguL	Conductivity_Scm	Cr_mgL	Cs_mgL	Cu_mgL	DIC_mgL	DOC_mgL	DO_mgL	Depth	Elevation	Fe_mgL	Ga_mgL	Iron_mgL	K_mgL	Latitude	Li_mgL	Longitude	Mg_mgL	Mn_mgL	N2O_mM	N2_mM	NO3_mgL	Na_mgL	Ni_mgL	O2_mM	PO4_mgL	Pb_mgL	Redox_mV	SO4_mgL	Screen_height	Se_mgL	Sr_mgL	Sulfide_mgL	Temperature_C	Top_depth	Top_elevation	U_mgL	Zn_mgL	pH	I_all_mgL	S_all_mgL
DP16D_67_11_27_12_02	69200	0.010549	3.444126	0.01073285	0.269124	0.04076825	0.009233179	23.5	22.15	976.57		0.020494537	5.69403948	139.769	0.010447	23.712	0.055654	8.8	661	0.005164317	0.032084238	0.004178164	87.91	2.326	0.26	19.735	978.985	1.932553	0.011049	1.46	5.962144	35.97550029	0.048015	84.27467766	32.34946323	9.392534	0	0.867482833	141.022	29.262	0.241538	0.171485919		0.002761729	-50	64.844	4.83	0.008814142	0.37188	0	17.05	17.32	981.4	0.744412	0.078332	6.67	6038.68486	5515.175305
DP16D_67_11_27_12_10	69200	0.010549	3.444126	0.01073285	0.269124	0.04076825	0.009233179	23.5	22.15	976.57		0.020494537	5.69403948	139.769	0.010447	23.712	0.055654	1.76	661	0.005164317	0.032084238	0.004178164	87.91	2.326	0.26	19.735	978.985	1.932553	0.011049	1.46	5.962144	35.97550029	0.048015	84.27467766	32.34946323	9.392534	0	0.867482833	141.022	29.262	0.241538	0.171485919		0.002761729	-50	64.844	4.83	0.008814142	0.37188	0	17.05	17.32	981.4	0.744412	0.078332	6.67	6038.68486	5515.175305
FW021_46_11_27_12_02	223000	0.010662	114.501	0.01073285	2.073446	0.078521	0.009233179	23	22	982.62		0	8.393592303	3970.124	0.172643	152.313	1.22539	4.06	7967	0.005164317	0.032084238	0.118379	22.27	7.298	0.27	19.615	985.005	0.015966066	0.059522	0.03	28.827	35.97774706	0.226954	84.27203269	117.901	128.452	0.874728338	0.868124877	4506.9	269.202	5.339026	0.179880364		0.003687	387	41.945	4.77	0.012866	1.372827	0.004	16.41	17.23	987.39	3.751466	0.896697	3.43	195596.8382	200786.2834
FW021_46_11_27_12_10	223000	0.010662	114.501	0.01073285	2.073446	0.078521	0.009233179	23	22	982.62		0	8.393592303	3970.124	0.172643	152.313	1.22539	2.78	7967	0.005164317	0.032084238	0.118379	22.27	7.298	0.27	19.615	985.005	0.015966066	0.059522	0.03	28.827	35.97774706	0.226954	84.27203269	117.901	128.452	0.874728338	0.868124877	4506.9	269.202	5.339026	0.179880364		0.003687	387	41.945	4.77	0.012866	1.372827	0.004	16.41	17.23	987.39	3.751466	0.896697	3.43	195596.8382	200786.2834
FW021_7_26_12_02	178000	0.0024		0.0013	1.7965	0.0393	0.0154	23	22	982.62	0			391.552	0.0983	107.5	0.5206	1.73	5390	0.006	0.0265	0.0549	94.9	9	2.48	19.615	985.005	0.0095	0.049	0.08	19.301	35.97774706	0.1054	84.27203269	68.743	75.193			2512.1	172.916	2.3753		0	0.0018	476	13.3	4.77	0.0062	0.9268	0.004	25.07	17.23	987.39	1.4739	0.4932	3.82	107840.9968	99284.7798
FW021_7_26_12_3	178000	0.0024		0.0013	1.7965	0.0393	0.0154	23	22	982.62	0			391.552	0.0983	107.5	0.5206	2.1	5390	0.006	0.0265	0.0549	94.9	9	2.48	19.615	985.005	0.0095	0.049	0.08	19.301	35.97774706	0.1054	84.27203269	68.743	75.193			2512.1	172.916	2.3753		0	0.0018	476	13.3	4.77	0.0062	0.9268	0.004	25.07	17.23	987.39	1.4739	0.4932	3.82	107840.9968	99284.7798
FW104_67_11_14_12_02	220000	0.021213	5.802442	0.005366425	0.321453	0.040071	0.004616589	48	44.44	963.828		0	19.27406227	12146.135	0.122546	244.61	0.134148	1.5	13660	0.011135	0.016265	0.041435	117	6.505	1.18	41.275	966.993	3.19787	0.01447	2.17	88.87	35.97736048	0.070486	84.27356212	233.24	124.075	1.160096236	0.412797105	9068.7	390.798	1.040264	0.105993987		0.004028	185	293.877	6.33	0.004407071	3.361589	0	14.57	38.11	970.158	8.988041	0.201248	5.22	196781.7756	189105.6027
FW104_67_11_14_12_10	220000	0.021213	5.802442	0.005366425	0.321453	0.040071	0.004616589	48	44.44	963.828		0	19.27406227	12146.135	0.122546	244.61	0.134148	1	13660	0.011135	0.016265	0.041435	117	6.505	1.18	41.275	966.993	3.19787	0.01447	2.17	88.87	35.97736048	0.070486	84.27356212	233.24	124.075	1.160096236	0.412797105	9068.7	390.798	1.040264	0.105993987		0.004028	185	293.877	6.33	0.004407071	3.361589	0	14.57	38.11	970.158	8.988041	0.201248	5.22	196781.7756	189105.6027
FW104_7_26_12_02	253000	0.0047		0.0018	0.1999	0.0587	0.0308	48	44.44	963.828	0			1574.356	0.034	186.2	0.0863	1.79	15470	0.0091	0.0529	0.157	198.8	46.5	0.2	41.275	966.993	0.2773	0.006	0.72	100.381	35.97736048	0.0599	84.27356212	230.611	122.765			5584.2	375.869	0.3649		0	0.0026	140	5533.2	6.33	0.0037	2.7914	0.005	31.99	38.11	970.158	34.1523	0.2152	5.91	210987.9976	196406.6127
FW104_7_26_12_3	253000	0.0047		0.0018	0.1999	0.0587	0.0308	48	44.44	963.828	0			1574.356	0.034	186.2	0.0863	1.94	15470	0.0091	0.0529	0.157	198.8	46.5	0.2	41.275	966.993	0.2773	0.006	0.72	100.381	35.97736048	0.0599	84.27356212	230.611	122.765			5584.2	375.869	0.3649		0	0.0026	140	5533.2	6.33	0.0037	2.7914	0.005	31.99	38.11	970.158	34.1523	0.2152	5.91	210987.9976	196406.6127
FW106_11_13_12_02	178000	0.021733	108.497	0.008416	0.077448	0.059091	0.004616589	47.08	45	963.12		0	17.50897226	273.264	0.13228	318.17	0.509368	1	7864	0.383574	0.016559	0.810474	43.18	47.87	0.18	40.125	967.995	0.037503	0.007394	1.02	216.441	35.97729757	1.945843	84.2734838	80.87365807	32.498	0.628110816	0.780519589	2692.04	865.339	7.183554	0.231141034		0.03189	426	2062.69	9.75	0.023621	0.369356	0.004	14.84	35.25	972.87	16.624554	1.098733	3.55	73637.44536	71901.80148
FW106_11_13_12_10	178000	0.021733	108.497	0.008416	0.077448	0.059091	0.004616589	47.08	45	963.12		0	17.50897226	273.264	0.13228	318.17	0.509368	1	7864	0.383574	0.016559	0.810474	43.18	47.87	0.18	40.125	967.995	0.037503	0.007394	1.02	216.441	35.97729757	1.945843	84.2734838	80.87365807	32.498	0.628110816	0.780519589	2692.04	865.339	7.183554	0.231141034		0.03189	426	2062.69	9.75	0.023621	0.369356	0.004	14.84	35.25	972.87	16.624554	1.098733	3.55	73637.44536	71901.80148
FW106_7_25_12_02	105000	0.0047		0.0049	0.0561	0.0587	0.0308	47.08	45	963.12	7.2			314.986	0.1606	326.3	0.5038	1	8401	0.2702	0.0529	0.6762	205.4	89.7	0.13	40.125	967.995	0.0191	0.002	1.4	333.889	35.97729757	0.0599	84.2734838	51.666	38.755			3311.2	907.975	5.4896		0	0.0489	498	1707.6	9.75	0.0268	0.5201	0.002	25.47	35.25	972.87	17.9802	1.0396	3.69	52443.26928	50759.72767
FW109_1_7_25_12_3	51300	0.0047		0.0008	0.1957	0.0587	0.0308	46.6	39.83	968.91841	0			212.193	0.119	47	0.2451	1	2889	0.0061	0.0529	0.0134	94.4	11	0.21	38.415	970.33341	0.0191	0.0059	0.66	27.512	35.97737419	0.3493	84.2735774	40.594	38.873			913.8	76.795	0.84		0	0.0026	363	124.5	2.83	0.0037	0.5443	0	28.6	37	971.74841	2.8138	0.2434	4.16	53063.03831	52910.8358
FW109_2_7_25_12_02	20300	0.0047		0.0005	0.0543	0.0587	0.0308	46.6	34.91	973.83841	0			69.609	0.0758	51.6	0.3043	1	16.07	0.0093	0.0529	0.0226	96.9	9	0.39	33.495	975.25341	0.0191	0.0019	0.23	30.366	35.97737412	0.4826	84.27357741	24.503	26.029			505.9	46.269	0.9001		0	0.0026	384	283.2	2.83	0.0037	0.2986	0	28.06	32.08	976.66841	9.4029	0.3897	4.03	41337.02922	40836.67266
FW109_2_7_25_12_3	20300	0.0047		0.0005	0.0543	0.0587	0.0308	46.6	34.91	973.83841	0			69.609	0.0758	51.6	0.3043	1	16.07	0.0093	0.0529	0.0226	96.9	9	0.39	33.495	975.25341	0.0191	0.0019	0.23	30.366	35.97737412	0.4826	84.27357741	24.503	26.029			505.9	46.269	0.9001		0	0.0026	384	283.2	2.83	0.0037	0.2986	0	28.06	32.08	976.66841	9.4029	0.3897	4.03	41337.02922	40836.67266
FW109_35_61_11_14_12_02	20300	0.02204	45.433362	0.005366425	0.065347	0.048899	0.004616589	46.6	34.91	973.83841		0.006313129	9.435232846	74.713	0.077597	63.373	0.299718	1	1531	0.012221	0.016275	0.016853	17.3	4.505	0.19	33.495	975.25341	0.017531	0.007072	0.44	35.376447	35.97737412	0.414786	84.27357741	80.87365807	30.282132	0.320392704	0.928345748	570.46	52.01544835	0.914795	0.197455814		0.004041	262	613.774	2.83	0.004407071	0.263649	0	16.89	32.08	976.66841	9.454861	0.394223	3.68	56815.65686	58123.61618
FW109_35_61_11_14_12_10	20300	0.02204	45.433362	0.005366425	0.065347	0.048899	0.004616589	46.6	34.91	973.83841		0.006313129	9.435232846	74.713	0.077597	63.373	0.299718	1.03	1531	0.012221	0.016275	0.016853	17.3	4.505	0.19	33.495	975.25341	0.017531	0.007072	0.44	35.376447	35.97737412	0.414786	84.27357741	80.87365807	30.282132	0.320392704	0.928345748	570.46	52.01544835	0.914795	0.197455814		0.004041	262	613.774	2.83	0.004407071	0.263649	0	16.89	32.08	976.66841	9.454861	0.394223	3.68	56815.65686	58123.61618
FW109_40_92_11_14_12_02	8860	0.021557	61.058126	0.005366425	0.131159	0.050736	0.004616589	46.6	39.83	968.91841		0	10.99582029	216.867	0.132391	83.025	0.31513	1	2726	0.02467	0.016283	0.034886	16.73	12.19	0.29	38.415	970.33341	0.028347	0.008977	0.42	34.582276	35.97737419	0.466927	84.2735774	80.87365807	35.348	0.481288803	0.804874037	1330.08	78.651	1.250557	0.215809537		0.004759	308	252.524	2.83	0.004407071	0.49772	0.017	12.42	37	971.74841	4.366073	0.312973	4.08	72922.03904	69749.53472
FW109_40_92_11_14_12_10	8860	0.021557	61.058126	0.005366425	0.131159	0.050736	0.004616589	46.6	39.83	968.91841		0	10.99582029	216.867	0.132391	83.025	0.31513	1	2726	0.02467	0.016283	0.034886	16.73	12.19	0.29	38.415	970.33341	0.028347	0.008977	0.42	34.582276	35.97737419	0.466927	84.2735774	80.87365807	35.348	0.481288803	0.804874037	1330.08	78.651	1.250557	0.215809537		0.004759	308	252.524	2.83	0.004407071	0.49772	0.017	12.42	37	971.74841	4.366073	0.312973	4.08	72922.03904	69749.53472
FW126_7_25_12_02	122000	0.0047		0.0029	0.1325	0.0587	0.0308	50.16666667	49.6146	960.3054	0			1219.294	0.7947	332.1	1.1202	1	16780	0.5718	0.0529	1.8534	138.2	119.5	0.2	44.90625	965.01375	0.1541	0.0037	1.17	91.9	35.97735772	0.0599	84.27341423	185.78	118.511			10261.5	757.06	9.3896		0	0.0449	499	1088.1	9.4167	0.0056	2.3219	0.015	33.95	40.1979	969.7221	43.3527	1.9944	3.1	152406.2725	152474.4839
FW126_7_25_12_3	122000	0.0047		0.0029	0.1325	0.0587	0.0308	50.16666667	49.6146	960.3054	0			1219.294	0.7947	332.1	1.1202	1	16780	0.5718	0.0529	1.8534	138.2	119.5	0.2	44.90625	965.01375	0.1541	0.0037	1.17	91.9	35.97735772	0.0599	84.27341423	185.78	118.511			10261.5	757.06	9.3896		0	0.0449	499	1088.1	9.4167	0.0056	2.3219	0.015	33.95	40.1979	969.7221	43.3527	1.9944	3.1	152406.2725	152474.4839
FW215_84_11_27__12_02	39500	0.010947	0.012897758	0.01073285	0.104439	0.04076825	0.009233179	18.86	18.62	980.45		0.011657779	4.856880059	120.122	0.002853234	15.5922	0.003121896	1.08	637.4	0.005292	0.032084238	0.004178164	85.25	1.928	0.13	16.225	982.845	0.015966066	0.007066132	0.21	5.166201	35.97571525	0.047829495	84.27472215	32.34946323	0.474506	0	0.892517753	5.5034	20.80617934	0.021330238	0.168154036		0.002761729	43	75.9144	4.79	0.008814142	0.398933	0	17.88	13.83	985.24	1.452231	0.04017	6.6	5106.266805	4847.065024
FW215_84_11_27__12_10	39500	0.010947	0.012897758	0.01073285	0.104439	0.04076825	0.009233179	18.86	18.62	980.45		0.011657779	4.856880059	120.122	0.002853234	15.5922	0.003121896	6.91	637.4	0.005292	0.032084238	0.004178164	85.25	1.928	0.13	16.225	982.845	0.015966066	0.007066132	0.21	5.166201	35.97571525	0.047829495	84.27472215	32.34946323	0.474506	0	0.892517753	5.5034	20.80617934	0.021330238	0.168154036		0.002761729	43	75.9144	4.79	0.008814142	0.398933	0	17.88	13.83	985.24	1.452231	0.04017	6.6	5106.266805	4847.065024
FW233_2_17_99_11_28_12_02	33600	0.010482	0.065065	0.01073285	0.411279	0.04076825	0.009233179	21.1	17.27	981.79278		0.056902057	3.714184268	119.865	0.002853234	15.9517	0.003121896	16.7	801.9	0.005164317	0.032084238	0.06011	80.73	4.109	0.26	16.365	982.69778	3.344064	0.015876	2.1	4.81381	35.97574296	0.047829495	84.27472299	32.34946323	0.576733	0	1.736360168	5.0334	20.80617934	0.021330238	0.382213059		0.002761729	-21	74.895	1.81	0.008814142	0.39756	0	15.74	15.46	983.60278	1.31091	0.040753	6.37	3996.538075	3971.511985
FW233_2_17_99_11_28_12_10	33600	0.010482	0.065065	0.01073285	0.411279	0.04076825	0.009233179	21.1	17.27	981.79278		0.056902057	3.714184268	119.865	0.002853234	15.9517	0.003121896	2.57	801.9	0.005164317	0.032084238	0.06011	80.73	4.109	0.26	16.365	982.69778	3.344064	0.015876	2.1	4.81381	35.97574296	0.047829495	84.27472299	32.34946323	0.576733	0	1.736360168	5.0334	20.80617934	0.021330238	0.382213059		0.002761729	-21	74.895	1.81	0.008814142	0.39756	0	15.74	15.46	983.60278	1.31091	0.040753	6.37	3996.538075	3971.511985
FW300_59_10_19_12_02		0.014067852	0.03021	0.0214657	0.093011	0.0815365	0.018466357	25.5	25	974.10202				67.26	0.005706469	2.1859	0.006243792	4.23	378.9	0.010328634	0.064168477	0.008356327	48.13	44.54	0.28	15	984.10202	0.067279	0.014132263	0.5	1.546033	35.94109189	0.095658991	84.33617623	16.17473161	0.199017			3.6597	10.40308967	0.042660477			0.005523457	-129	6.4716	20	0.017628284	0.11499	0.026	15.54	5	994.10202	0.215624	0.050613	6.59	1085.208135	398.6473898
FW300_59_10_19_12_10		0.014067852	0.03021	0.0214657	0.093011	0.0815365	0.018466357	25.5	25	974.10202				67.26	0.005706469	2.1859	0.006243792	1	378.9	0.010328634	0.064168477	0.008356327	48.13	44.54	0.28	15	984.10202	0.067279	0.014132263	0.5	1.546033	35.94109189	0.095658991	84.33617623	16.17473161	0.199017			3.6597	10.40308967	0.042660477			0.005523457	-129	6.4716	20	0.017628284	0.11499	0.026	15.54	5	994.10202	0.215624	0.050613	6.59	1085.208135	398.6473898
FW301_7_25_12_02	506000	0.0024		0.0003	0.0648	0.0293	0.0154	21.9	21.9	819.62	0			39.08	0.0009	2.8	0.0024	12.9	205	0.0025	0.0265	0.0033	41.7	11.6	0.45	14.3	827.22	0.0095	0.0021	0.05	2.476	35.94106884	0.03	84.33618124	1.876	0.594			18.9	10.031	0.0371		0	0.0013	163	17.4	15.2	0.0018	0.0769	0.044	22.6	6.7	834.82	0.0275	0.0394	6.08	893.6755792	184.3720528
FW301_7_25_12_3	506000	0.0024		0.0003	0.0648	0.0293	0.0154	21.9	21.9	819.62	0			39.08	0.0009	2.8	0.0024	37.3	205	0.0025	0.0265	0.0033	41.7	11.6	0.45	14.3	827.22	0.0095	0.0021	0.05	2.476	35.94106884	0.03	84.33618124	1.876	0.594			18.9	10.031	0.0371		0	0.0013	163	17.4	15.2	0.0018	0.0769	0.044	22.6	6.7	834.82	0.0275	0.0394	6.08	893.6755792	184.3720528
FW301_81_10_19_12_02		0.007645	0.417525	0.002890508	0.077388	0.039543195	0.037626821	21.9	21.9	819.62				78.81	0.005688	3.5336	0.010565	2.37	334.4	0.004021612	0.029000673	0.008512997	55.44	48.65	0.78	14.3	827.22	0.02966	0.011313946	0.98	2.371698	35.94106884	0.038203854	84.33618124	16.17473161	2.249315			36.3566	10.40308967	0.048053			0.002990403	39	9.1394	15.2	0.008826523	0.119687	0.188	15.77	6.7	834.82	0.159663	0.057672	6.68	462.0756924	379.1761256
FW301_81_10_19_12_10		0.007645	0.417525	0.002890508	0.077388	0.039543195	0.037626821	21.9	21.9	819.62				78.81	0.005688	3.5336	0.010565	11.1	334.4	0.004021612	0.029000673	0.008512997	55.44	48.65	0.78	14.3	827.22	0.02966	0.011313946	0.98	2.371698	35.94106884	0.038203854	84.33618124	16.17473161	2.249315			36.3566	10.40308967	0.048053			0.002990403	39	9.1394	15.2	0.008826523	0.119687	0.188	15.77	6.7	834.82	0.159663	0.057672	6.68	462.0756924	379.1761256
FW301_81_2_20_13_02	112000	0.007444	0.0056347	0.002890508	0.044202	0.039543195	0.037626821	21.9	21.9	819.62		0	1.690081105	3.985	0.002676578	1.2654	0.003960968	5.99	44.19	0.004021612	0.029000673	0.008512997	15.22	0.612	3.58	14.3	827.22	0.011147114	0.011313946	0.02	0.972517	35.94106884	0.038203854	84.33618124	16.17473161	0.017826	0	1.286399829		10.40308967	0.005542859	0.278219606		0.002990403	160	8.1905	15.2	0.008826523	0.038287845	0	12.2	6.7	834.82	0.050763428	0.073528	5.42	488.117507	280.4178419
FW301_81_2_20_13_10	112000	0.007444	0.0056347	0.002890508	0.044202	0.039543195	0.037626821	21.9	21.9	819.62		0	1.690081105	3.985	0.002676578	1.2654	0.003960968	11.4	44.19	0.004021612	0.029000673	0.008512997	15.22	0.612	3.58	14.3	827.22	0.011147114	0.011313946	0.02	0.972517	35.94106884	0.038203854	84.33618124	16.17473161	0.017826	0	1.286399829		10.40308967	0.005542859	0.278219606		0.002990403	160	8.1905	15.2	0.008826523	0.038287845	0	12.2	6.7	834.82	0.050763428	0.073528	5.42	488.117507	280.4178419
FW303_11_10_23_12_02		0.007521	0.017005	0.002890508	0.072328	0.039543195	0.037626821	20.58	20.16	821.07				52.516	0.002676578	3.3283	0.003960968	10.8	316.4	0.004021612	0.029000673	0.008512997	40.82	39.59	0.71	17.66	823.57	0.011147114	0.011313946	0	1.456132	35.94113923	0.038203854	84.33627935	16.17473161	0.043157			3.9624	10.40308967	0.005542859			0.002990403	147	7.3974	5	0.008826523	0.167949	0.041	15.82	15.16	826.07	0.08129	0.040954	7.16	564.2240216	336.7611001
FW303_11_10_23_12_10		0.007521	0.017005	0.002890508	0.072328	0.039543195	0.037626821	20.58	20.16	821.07				52.516	0.002676578	3.3283	0.003960968	1.31	316.4	0.004021612	0.029000673	0.008512997	40.82	39.59	0.71	17.66	823.57	0.011147114	0.011313946	0	1.456132	35.94113923	0.038203854	84.33627935	16.17473161	0.043157			3.9624	10.40308967	0.005542859			0.002990403	147	7.3974	5	0.008826523	0.167949	0.041	15.82	15.16	826.07	0.08129	0.040954	7.16	564.2240216	336.7611001
FW303_11_2_20_13_02	27400	0.007388	0.0056347	0.002890508	0.07523	0.039543195	0.037626821	20.58	20.16	821.07		0	1.342296307	52.62	0.002676578	1.434	0.003960968	1.82	304.5	0.004021612	0.029000673	0.008512997	39.28	0.553	1.75	17.66	823.57	0.011147114	0.011313946	0	1.375572	35.94113923	0.038203854	84.33627935	16.17473161	0.004714674	0	1.914925322	0.4082	10.40308967	0.005542859	0.349838577		0.002990403	96	6.8069	5	0.008826523	0.17778	0	12.86	15.16	826.07	0.050763428	0.046381	7.28	344.1264638	347.8655309
FW410_28_46_11_13_12_02	123000	0.021475	74.189	0.005366425	3.29904	0.100635	0.004616589	27.74	27.52	976.57		0	5.03644283	86.804	0.167146	49.6205	0.426029	1	3355	0.008889	0.016269	0.059104	11.49	2.106	0.34	25.605	978.485	0.208496	0.09872	2.19	45.933924	35.9771358	1.797894	84.27395718	80.87365807	33.406288	0.313472977	1.061989752	1516.13	94.641	1.819067	0.328034817		0.005324	337	1.851	3.83	0.004407071	0.435433	0.018	16.02	23.69	980.4	13.02207	0.474348	3.69	77217.5868	80999.71483
FW410_28_46_11_13_12_10	123000	0.021475	74.189	0.005366425	3.29904	0.100635	0.004616589	27.74	27.52	976.57		0	5.03644283	86.804	0.167146	49.6205	0.426029	1	3355	0.008889	0.016269	0.059104	11.49	2.106	0.34	25.605	978.485	0.208496	0.09872	2.19	45.933924	35.9771358	1.797894	84.27395718	80.87365807	33.406288	0.313472977	1.061989752	1516.13	94.641	1.819067	0.328034817		0.005324	337	1.851	3.83	0.004407071	0.435433	0.018	16.02	23.69	980.4	13.02207	0.474348	3.69	77217.5868	80999.71483
FW510_26_11_26_12_02	1050000	0.021181	15.174569	0.005366425	0.464263	0.043573	0.004616589	25.94	25.75	981.96		0	7.364074659	157.807	0.16323	77.744	0.064135	1.34	1800	0.008126	0.016646	0.007812	16.63	1.775	0.14	23.31	984.4	0.007983033	0.020194	0.56	34.538077	35.97858486	0.069862	84.27208173	80.87365807	8.801863	0.272262501	0.76835938	850.47	52.01544835	0.296629	0.146190395		0.003764	328	22.681	4.88	0.004407071	0.363315	0.128	16.37	20.87	986.84	0.850175	0.098723	4.01	3071.759156	14862.42643
FW510_26_11_26_12_10	1050000	0.021181	15.174569	0.005366425	0.464263	0.043573	0.004616589	25.94	25.75	981.96		0	7.364074659	157.807	0.16323	77.744	0.064135	1	1800	0.008126	0.016646	0.007812	16.63	1.775	0.14	23.31	984.4	0.007983033	0.020194	0.56	34.538077	35.97858486	0.069862	84.27208173	80.87365807	8.801863	0.272262501	0.76835938	850.47	52.01544835	0.296629	0.146190395		0.003764	328	22.681	4.88	0.004407071	0.363315	0.128	16.37	20.87	986.84	0.850175	0.098723	4.01	3071.759156	14862.42643
FW511_61_11_26_12_02	68500	0.021093	1.559533	0.005366425	0.072685	0.039016	0.006044	22.5	22.31	984.36		0	3.031131937	11.543	0.017369	71.286	0.015178	1	308.9	0.010115	0.016382	0.002089082	10.44	1.292	5.97	19.875	986.795	0.007983033	0.007326	0.03	16.315927	35.97850144	0.04903	84.27203535	80.87365807	1.498194	0	0.785764463	118.547	52.01544835	0.047077	0.260600729		0.003315	141	6.7475	4.87	0.004407071	0.0343	0.081	18.95	17.44	989.23	0.234858	0.043858	4.96	18785.92453	2686.33767
FW511_61_11_26_12_10	68500	0.021093	1.559533	0.005366425	0.072685	0.039016	0.006044	22.5	22.31	984.36		0	3.031131937	11.543	0.017369	71.286	0.015178	1	308.9	0.010115	0.016382	0.002089082	10.44	1.292	5.97	19.875	986.795	0.007983033	0.007326	0.03	16.315927	35.97850144	0.04903	84.27203535	80.87365807	1.498194	0	0.785764463	118.547	52.01544835	0.047077	0.260600729		0.003315	141	6.7475	4.87	0.004407071	0.0343	0.081	18.95	17.44	989.23	0.234858	0.043858	4.96	18785.92453	2686.33767
FW511_7_26_13_02	45600	0.0024		0.0003	0.0406	0.0293	0.0154	22.5	22.31	984.36	0			6.849	0.0071	60.6	0.0115	1	297.4	0.0025	0.0265	0.0033	26.3	3	1.32	19.875	986.795	0.0095	0.0014	0.11	12.809	35.97850144	0.03	84.27203535	2.045	1.57			189.5	20.544	0.0309		0	0.0013	351	173.8	4.87	0.0018	0.0278	0.152	23.23	17.44	989.23	0.1966	0.0474	5.01	4480.624246	1792.83336
FW511_7_26_13_3	45600	0.0024		0.0003	0.0406	0.0293	0.0154	22.5	22.31	984.36	0			6.849	0.0071	60.6	0.0115	1	297.4	0.0025	0.0265	0.0033	26.3	3	1.32	19.875	986.795	0.0095	0.0014	0.11	12.809	35.97850144	0.03	84.27203535	2.045	1.57			189.5	20.544	0.0309		0	0.0013	351	173.8	4.87	0.0018	0.0278	0.152	23.23	17.44	989.23	0.1966	0.0474	5.01	4480.624246	1792.83336
FW602_2_26_2_11_28_12_02	73500	0.014067852	0.025795517	0.0214657	0.619659	0.0815365	0.018466357	33.33	25.9	953.73		0	2.652080641	1854.505	0.005706469	23.8246	0.006243792	1.44	1704	0.010328634	0.064168477	0.008356327	51.73	1.596	0.41	23.5	956.13	0.031932132	0.020796	0	3.275803	35.97404635	0.095658991	84.27893085	29.88	0.262274	0.109217226	1.561735035	816.56	19.784	0.042660477	0.341355081		0.005523457	105	7.6766	4.8	0.017628284	0.782737	0.001	16.42	21.1	958.53	0.045335	0.037458	6.48	2106.755259	1947.627623
FW602_2_26_2_11_28_12_10	73500	0.014067852	0.025795517	0.0214657	0.619659	0.0815365	0.018466357	33.33	25.9	953.73		0	2.652080641	1854.505	0.005706469	23.8246	0.006243792	1.66	1704	0.010328634	0.064168477	0.008356327	51.73	1.596	0.41	23.5	956.13	0.031932132	0.020796	0	3.275803	35.97404635	0.095658991	84.27893085	29.88	0.262274	0.109217226	1.561735035	816.56	19.784	0.042660477	0.341355081		0.005523457	105	7.6766	4.8	0.017628284	0.782737	0.001	16.42	21.1	958.53	0.045335	0.037458	6.48	2106.755259	1947.627623
FW603_55_12_3_12_02	51300	0.014067852	0.025795517	0.0214657	4.953352	0.0815365	0.018466357	33.5	32.791	947.399		0	6.691485171	6863.202	0.005706469	38.2161	0.018987	1	6913	0.010328634	0.064168477	0.008356327	70.47	0.869	0.54	30.6038	949.5862	0.031932132	0.146732	0.05	5.955179	35.97380179	0.095658991	84.27879081	97.48	0.101745	0.136652638	1.54354355	3752.6	29.198	0.042660477	0.31471373		0.005523457	212	3.4519	4.3744	0.017628284	2.663817	0.006	17.85	28.4166	951.7734	0.048609	0.033036	6.08	10483.68251	14195.03579
FW603_55_12_3_12_10	51300	0.014067852	0.025795517	0.0214657	4.953352	0.0815365	0.018466357	33.5	32.791	947.399		0	6.691485171	6863.202	0.005706469	38.2161	0.018987	1	6913	0.010328634	0.064168477	0.008356327	70.47	0.869	0.54	30.6038	949.5862	0.031932132	0.146732	0.05	5.955179	35.97380179	0.095658991	84.27879081	97.48	0.101745	0.136652638	1.54354355	3752.6	29.198	0.042660477	0.31471373		0.005523457	212	3.4519	4.3744	0.017628284	2.663817	0.006	17.85	28.4166	951.7734	0.048609	0.033036	6.08	10483.68251	14195.03579
GW056_87_1_8_13_02	22700	0.010476	0.018913	0.01073285	0.084255	0.04076825	0.009233179	55.2	55.2	831.6		0	1.375421828	65.466	0.002853234	61.139	0.003121896	4.03	784.1	0.021873	0.032084238	0.018343	47.57	0.743	0.66	54.2	832.6	0.015966066	0.007066132	0.2	3.029706	35.95776216	0.047829495	84.30053162	32.34946323	0.139115	0	1.899396452	2.5642	38.77	0.024656	0.426920194		0.002761729	-14	15.0304	2	0.008814142	0.132627	0.029	12.87	53.2	833.6	0.007304	0.063156	6.87	1100.340573	395.9892983
GW056_87_1_8_13_10	22700	0.010476	0.018913	0.01073285	0.084255	0.04076825	0.009233179	55.2	55.2	831.6		0	1.375421828	65.466	0.002853234	61.139	0.003121896	5.15	784.1	0.021873	0.032084238	0.018343	47.57	0.743	0.66	54.2	832.6	0.015966066	0.007066132	0.2	3.029706	35.95776216	0.047829495	84.30053162	32.34946323	0.139115	0	1.899396452	2.5642	38.77	0.024656	0.426920194		0.002761729	-14	15.0304	2	0.008814142	0.132627	0.029	12.87	53.2	833.6	0.007304	0.063156	6.87	1100.340573	395.9892983
