Sample	AODC_cellsmL	Ag_mgL	Al_mgL	As_mgL	Ba_mgL	Be_mgL	Bi_mgL	Boring_depth	Bot_depth	Bot_elevation	Br_mgL	CH4_mM	CO2_mM	Ca_mgL	Cd_mgL	Cl_mgL	Co_mgL	Concentration_nguL	Conductivity_Scm	Cr_mgL	Cs_mgL	Cu_mgL	DIC_mgL	DOC_mgL	DO_mgL	Depth	Elevation	Fe_mgL	Ga_mgL	Iron_mgL	K_mgL	Latitude	Li_mgL	Longitude	Mg_mgL	Mn_mgL	N2O_mM	N2_mM	NO3_mgL	Na_mgL	Ni_mgL	O2_mM	PO4_mgL	Pb_mgL	Redox_mV	SO4_mgL	Screen_height	Se_mgL	Sr_mgL	Sulfide_mgL	Temperature_C	Top_depth	Top_elevation	U_mgL	Zn_mgL	pH	I_all_mgL	S_all_mgL
GW246_1_11_26_12_10	145000	0.021363	40.012504	0.006663	5.467117	0.056911	0.004616589	76	74.6	931.47		0	9.466708912	13116.11	0.306756	286.886	0.441116	1	18580	0.007196	0.016683	0.033077	30.54	5.143	0.19	60.55	945.52	0.033227	0.159475	0.037	32.081756	35.97714399	0.491966	84.27293486	446.433	77.701	0.914099157	1.34697565	13471.3	371.428	3.473997	0.258432067		0.003899	331	32.026	28.1	0.010587	10.048643	0.004	17.56	46.5	959.57	0.259447	0.229637	4.48	129931.5542	139476.1323
GW247_7_11_14_12_02	76800	0.02124	0.060756	0.005366425	17.685614	0.03801	0.004616589	78	74.9	931.83		0	8.159443204	17045.315	0.017978	254.958	0.017647	1	20620	0.008359	0.018237	0.007999	108.3	2.244	0.09	60.9	945.83	0.007983033	0.516038	0.011	37.169711	35.97729963	0.396801	84.27272624	495.014	23.759784	0.966298918	1.505751979	14446.5	255.294	0.202324	0.147241421		0.003389	165	21.126	28	0.004407071	12.269577	0.018	17.5	46.9	959.83	0.080439	0.095263	5.88	68017.7308	74453.34071
GW247_7_11_14_12_10	76800	0.02124	0.060756	0.005366425	17.685614	0.03801	0.004616589	78	74.9	931.83		0	8.159443204	17045.315	0.017978	254.958	0.017647	1	20620	0.008359	0.018237	0.007999	108.3	2.244	0.09	60.9	945.83	0.007983033	0.516038	0.011	37.169711	35.97729963	0.396801	84.27272624	495.014	23.759784	0.966298918	1.505751979	14446.5	255.294	0.202324	0.147241421		0.003389	165	21.126	28	0.004407071	12.269577	0.018	17.5	46.9	959.83	0.080439	0.095263	5.88	68017.7308	74453.34071
GW271_66_2_18_13_02	41800	0.010492	0.037906	0.01073285	0.286846	0.04076825	0.009233179	56.3	56.3	950.19	0.0638	0	1.778778584	65.594	0.002853234	14.9646	0.003121896	2.36	521.9	0.005164317	0.032084238	0.062135	49.23	0.586	0.03	51.1	955.39	0.015966066	0.012019	0.01	4.05123	35.97989558	0.047829495	84.27058705	32.34946323	0.017346246	0	2.725608222		20.80617934	0.021330238	0.459260687	0.8588	0.002761729	-293	55.1798	10.4	0.008814142	1.760589	4.15	15.57	45.9	960.59	0.003175	0.036191	7.71	2425.539291	2285.001416
GW271_66_2_18_13_10	41800	0.010492	0.037906	0.01073285	0.286846	0.04076825	0.009233179	56.3	56.3	950.19	0.0638	0	1.778778584	65.594	0.002853234	14.9646	0.003121896	1.22	521.9	0.005164317	0.032084238	0.062135	49.23	0.586	0.03	51.1	955.39	0.015966066	0.012019	0.01	4.05123	35.97989558	0.047829495	84.27058705	32.34946323	0.017346246	0	2.725608222		20.80617934	0.021330238	0.459260687	0.8588	0.002761729	-293	55.1798	10.4	0.008814142	1.760589	4.15	15.57	45.9	960.59	0.003175	0.036191	7.71	2425.539291	2285.001416
GW283_43_1_29_13_02	58600	0.010587	0.025082	0.01073285	0.252217	0.04076825	0.009233179	20	20	919.22		0	4.226537314	71.571	0.002853234	141.977	0.003121896	28.4	1089	0.005164317	0.032084238	0.006549	88.28	2.707	0.07	12.5	926.72	0.015966066	0.010482	0.03	5.129209	35.99136616	0.047829495	84.24441382	32.34946323	0.263972	0	2.277446496	3.1448	106.308	0.021330238	0.429436238		0.002761729	95	17.1074	15	0.008814142	0.397128	0.013	18.01	5	934.22	0.022768	0.041717	6.95	1706.422509	599.7414293
GW283_43_1_29_13_10	58600	0.010587	0.025082	0.01073285	0.252217	0.04076825	0.009233179	20	20	919.22		0	4.226537314	71.571	0.002853234	141.977	0.003121896	22.6	1089	0.005164317	0.032084238	0.006549	88.28	2.707	0.07	12.5	926.72	0.015966066	0.010482	0.03	5.129209	35.99136616	0.047829495	84.24441382	32.34946323	0.263972	0	2.277446496	3.1448	106.308	0.021330238	0.429436238		0.002761729	95	17.1074	15	0.008814142	0.397128	0.013	18.01	5	934.22	0.022768	0.041717	6.95	1706.422509	599.7414293
GW314_97_2_19_13_02	71100	0.010516	0.033604	0.01073285	0.118151	0.04076825	0.009233179	115	113	934.2		0	3.83901883	91.458	0.002853234	9.5546	0.003121896	3.97	602.7	0.005164317	0.032084238	0.064432	66.74	0.736	0.23	108	939.2	0.015966066	0.007066132	0.02	3.113183	35.97587976	0.047829495	84.27177607	32.34946323	0.041565	0	2.582451961	8.3777	20.80617934	0.021330238	0.552569614		0.002761729	364	34.6258	10	0.008814142	0.184737	0	14.69	103	944.2	0.004178	0.035724	7.37	324.9909969	325.1599704
GW314_97_2_19_13_10	71100	0.010516	0.033604	0.01073285	0.118151	0.04076825	0.009233179	115	113	934.2		0	3.83901883	91.458	0.002853234	9.5546	0.003121896	1.32	602.7	0.005164317	0.032084238	0.064432	66.74	0.736	0.23	108	939.2	0.015966066	0.007066132	0.02	3.113183	35.97587976	0.047829495	84.27177607	32.34946323	0.041565	0	2.582451961	8.3777	20.80617934	0.021330238	0.552569614		0.002761729	364	34.6258	10	0.008814142	0.184737	0	14.69	103	944.2	0.004178	0.035724	7.37	324.9909969	325.1599704
GW345_51_11_27_12_02	42100	0.021091	0.074505	0.003434	0.23062	0.038176	3.42E-06	26.3	26	968.93		0	3.380165584	42.63	0.004149	7.8447	0.001773	9.63	183.8	0.007015	0.016243	0.009135	18.31	0.325	1.19	21	973.93	0	0.012665	0.01	3.431757	35.97507991	0.043752	84.27692458	55.76922578	0.194231	0.179594894	0.776976594	171.018	52.01544835	0.017021	0.134427748		0.003416	278	8.2806	10	3.43E-06	0.170628	0	15.07	16	978.93	0.019004	0.08937	5.23	333.0775796	332.6774777
